iter	RMSE
0	55640.64331
1	54185.22524
2	52861.11095
3	51723.41654
4	50859.2825
5	50106.08927
6	49417.81219
7	48843.47869
8	48079.38296
9	47362.23002
10	46836.59688
11	46502.07527
12	45873.85579
13	45392.28787
14	45000.76189
15	44615.78969
16	44315.01482
17	44087.43664
18	43672.474
19	43322.91098
20	43150.0731
21	42979.23796
22	42789.13948
23	42640.41872
24	42475.68771
25	42256.49553
26	42120.13757
27	41924.70441
28	41701.25251
29	41466.11824
30	41391.13814
31	41297.48841
32	41212.79589
33	41157.60892
34	40987.73089
35	40857.65143
36	40797.95388
37	40742.6458
38	40571.05681
39	40398.04867
40	40337.7048
41	40074.80448
42	39945.65493
43	39890.92867
44	39799.34104
45	39737.84272
46	39696.54573
47	39514.96997
48	39450.11143
49	39389.99576
50	39303.09494
51	39227.66097
52	39125.87276
53	38999.55538
54	38909.45501
55	38833.11302
56	38793.59404
57	38719.9667
58	38650.98358
59	38586.69478
60	38514.97331
61	38468.55253
62	38342.05008
63	38299.21062
64	38228.37832
65	38061.66711
66	37998.10035
67	37885.22691
68	37698.94935
69	37647.22289
70	37600.61158
71	37524.22251
72	37441.09509
73	37351.42926
74	37270.51045
75	37211.05292
76	37145.23931
77	36998.78591
78	36965.88417
79	36936.23635
80	36866.85537
81	36829.83001
82	36754.87857
83	36659.45301
84	36555.37203
85	36468.34665
86	36356.15434
87	36254.55946
88	36218.19842
89	36159.38755
90	36142.2343
91	35978.36894
92	35950.68116
93	35860.37228
94	35745.57712
95	35711.28031
96	35535.40666
97	35481.63835
98	35454.08254
99	35389.52685
100	35313.09656
101	35300.41662
102	35227.9813
103	35142.67703
104	35116.62207
105	35076.63763
106	35064.0113
107	35039.59462
108	34977.79576
109	34834.6942
110	34763.414
111	34740.00491
112	34669.14534
113	34584.11779
114	34548.50076
115	34488.69558
116	34455.05347
117	34404.38578
118	34381.6614
119	34354.78923
120	34306.74656
121	34278.0672
122	34273.44093
123	34226.93323
124	34131.50272
125	34085.82698
126	34020.40748
127	33935.61659
128	33931.13734
129	33871.19463
130	33815.88539
131	33811.9676
132	33809.00571
133	33767.13799
134	33716.71389
135	33636.7977
136	33600.62238
137	33571.49462
138	33531.82633
139	33526.52028
140	33522.5415
141	33453.52824
142	33412.08623
143	33381.15872
144	33312.22999
145	33265.92494
146	33190.67251
147	33187.24741
148	33147.03646
149	33082.332
150	33079.36735
151	33037.42375
152	32981.52086
153	32933.25449
154	32924.94466
155	32922.88419
156	32855.44534
157	32850.18474
158	32826.58491
159	32791.31699
160	32742.40828
161	32669.98636
162	32615.54154
163	32562.16714
164	32502.81041
165	32450.3441
166	32414.35644
167	32380.53584
168	32362.31477
169	32360.4381
170	32356.46459
171	32294.09087
172	32292.37975
173	32247.8341
174	32205.52259
175	32200.83772
176	32199.1478
177	32145.5694
178	32142.07389
179	32090.20774
180	32040.98728
