iter	Passed	Remaining
0	4	2002
1	7	1935
2	10	1807
3	13	1728
4	16	1613
5	18	1527
6	21	1513
7	23	1468
8	26	1435
9	29	1425
10	31	1386
11	33	1353
12	35	1333
13	37	1317
14	40	1301
15	42	1277
16	44	1266
17	46	1245
18	48	1229
19	50	1211
20	52	1204
21	54	1192
22	57	1183
23	59	1176
24	62	1178
25	64	1172
26	66	1158
27	68	1150
28	70	1144
29	72	1135
30	74	1128
31	76	1123
32	78	1117
33	80	1108
34	82	1100
35	85	1096
36	87	1091
37	89	1085
38	91	1080
39	93	1076
40	95	1070
41	97	1067
42	99	1062
43	102	1057
44	104	1052
45	106	1046
46	107	1037
47	109	1028
48	110	1020
49	112	1013
50	114	1005
51	115	995
52	117	988
53	118	981
54	120	975
55	121	966
56	123	959
57	125	953
58	126	947
59	128	940
60	129	934
61	131	930
62	133	928
63	135	924
64	137	919
65	139	915
66	140	909
67	142	904
68	144	900
69	145	895
70	147	892
71	149	887
72	151	883
73	152	879
74	154	874
75	155	869
76	157	865
77	159	861
78	161	858
79	163	858
80	165	856
81	167	853
82	169	849
83	170	845
84	172	841
85	174	838
86	175	834
87	177	830
88	179	827
89	180	823
90	182	820
91	184	816
92	185	813
93	188	813
94	190	812
95	192	811
96	195	810
97	197	810
98	200	810
99	201	807
100	203	803
101	204	799
102	207	799
103	210	799
104	212	799
105	214	798
106	216	794
107	218	791
108	219	788
109	222	787
110	224	785
111	226	784
112	228	782
113	230	779
114	231	775
115	233	772
116	235	769
117	236	766
118	238	763
119	240	760
120	241	757
121	243	754
122	245	751
123	246	748
124	248	745
125	250	742
126	251	739
127	253	736
128	255	735
129	258	734
130	259	731
131	261	729
132	263	725
133	264	723
134	266	720
135	268	718
136	269	715
137	271	712
138	273	709
139	275	707
140	276	705
141	280	706
142	282	704
143	283	701
144	285	699
145	287	696
146	288	693
147	290	691
148	292	688
149	293	685
150	295	683
151	297	680
152	298	678
153	300	675
154	302	672
155	303	669
156	305	667
157	307	665
158	308	662
159	310	659
160	312	657
161	313	654
162	315	652
163	317	649
164	318	647
165	320	644
166	322	642
167	324	640
168	325	638
169	327	635
170	329	633
171	330	630
172	332	627
173	333	625
174	335	622
175	336	620
176	338	617
177	340	615
178	341	612
179	343	610
180	345	608
181	346	605
182	348	603
183	350	601
184	351	598
185	353	596
186	355	594
187	356	592
188	358	590
189	360	587
190	361	585
191	363	583
192	365	580
193	366	578
194	368	576
195	370	574
196	371	572
197	373	570
198	375	567
199	377	565
200	378	563
201	380	561
202	382	559
203	384	557
204	385	555
205	387	553
206	389	551
207	391	549
208	392	547
209	394	544
210	396	542
211	397	540
212	399	538
213	401	536
214	403	535
215	405	533
216	407	531
217	408	528
218	410	526
219	412	524
220	413	522
221	415	520
222	416	517
223	418	516
224	420	514
225	422	511
226	423	509
227	425	507
228	427	505
229	428	503
230	430	501
231	431	498
232	433	496
233	435	494
234	436	492
235	438	490
236	440	488
237	441	486
238	443	484
239	445	482
240	446	480
241	448	478
242	450	476
243	452	474
244	453	472
245	455	470
246	457	468
247	458	466
248	460	464
249	462	462
250	463	460
251	465	458
